ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),TimeSinceStartinms,YYYY-MO-DD HH-MI-SS_SSS,Activity
2.1248,-6.6059,-12.245,2.3263,1.9368,-7.433,-2.0632,-2.0714,0.57666,3031634,2021-05-02 14:22:27:836,Jogging
6.3198,1.1441,1.4301,5.3847,9.7097,6.1127,-0.64049,-2.7046,-0.34483,3031635,2021-05-02 14:22:27:837,Jogging
5.4073,-6.7148,14.315,1.604,2.1738,12.672,-1.6264,6.1358,1.368,3031636,2021-05-02 14:22:27:838,Jogging
-5.9385,-15.663,-9.3572,-7.9347,-6.0659,-9.0853,-0.60751,-2.2623,-1.0818,3031637,2021-05-02 14:22:27:839,Jogging
-4.3721,-14.451,16.344,-5.9493,-4.8966,14.797,1.9642,5.6307,-1.2782,3031638,2021-05-02 14:22:27:840,Jogging
-5.1621,-15.255,12.367,-5.0193,-6.191,8.626,4.054,6.3777,0.11087,3031639,2021-05-02 14:22:27:841,Jogging
-2.9965,-19.232,12.068,-4.3935,-8.269,6.9317,5.951,4.5207,1.43,3031640,2021-05-02 14:22:27:842,Jogging
12.231,-19.504,13.607,13.844,-11.579,8.0606,6.8582,2.3699,3.0846,3031641,2021-05-02 14:22:27:843,Jogging
18.619,-19.532,-3.1191,20.59,-12.036,-9.1275,5.6325,0.064752,0.14233,3031642,2021-05-02 14:22:27:844,Jogging
9.5479,-15.119,-16.494,11.115,-8.2215,-23.287,5.9336,-3.1536,-5.1322,3031643,2021-05-02 14:22:27:845,Jogging
-1.4438,-18.279,-16.862,-1.0314,-12.308,-24.63,2.5238,0.32834,-0.6243,3031644,2021-05-02 14:22:27:846,Jogging
-15.214,-8.1313,-11.305,-15.635,1.5506,-9.8038,1.9978,1.9233,-1.0733,3031645,2021-05-02 14:22:27:847,Jogging
-18.442,-0.25879,-15.241,-19.039,9.4519,-14.01,2.2654,5.0228,0.19028,3031646,2021-05-02 14:22:27:848,Jogging
10.42,5.0123,4.5083,10.297,14.338,7.5394,-0.34178,7.9782,0.99602,3031647,2021-05-02 14:22:27:849,Jogging
8.2676,3.1872,3.2008,7.0917,12.524,5.961,-0.047037,0.38179,0.14539,3031648,2021-05-02 14:22:27:850,Jogging
3.0373,-3.5685,-6.9736,0.81029,5.2522,-3.3122,-0.17898,-4.0427,0.054062,3031649,2021-05-02 14:22:27:851,Jogging
0.21793,-2.2882,-8.5672,-1.8553,6.1278,-3.9799,0.062308,-4.9144,0.15913,3031650,2021-05-02 14:22:27:852,Jogging
0.095342,0.6674,-5.6661,-1.6277,8.1034,0.4909,-1.0516,0.31979,-0.25962,3031651,2021-05-02 14:22:27:853,Jogging
